Username,RepoName,Stars,RepoUrl
bitcoin,bitcoin,77200,https://github.com/bitcoin/bitcoin
ccxt,ccxt,32000,https://github.com/ccxt/ccxt
OpenBB-finance,OpenBB,26700,https://github.com/OpenBB-finance/OpenBB
freqtrade,freqtrade,26500,https://github.com/freqtrade/freqtrade
dogecoin,dogecoin,14400,https://github.com/dogecoin/dogecoin
monero-project,monero,8700,https://github.com/monero-project/monero
xmrig,xmrig,8500,https://github.com/xmrig/xmrig
kroma-network,tachyon,7800,https://github.com/kroma-network/tachyon
dvf,blockchain,7700,https://github.com/dvf/blockchain
hummingbot,hummingbot,7700,https://github.com/hummingbot/hummingbot
lightningnetwork,lnd,7600,https://github.com/lightningnetwork/lnd
lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
StockSharp,StockSharp,6900,https://github.com/StockSharp/StockSharp
firmai,financial-machine-learning,6400,https://github.com/firmai/financial-machine-learning
cosmos,cosmos-sdk,6100,https://github.com/cosmos/cosmos-sdk
sammchardy,python-binance,5900,https://github.com/sammchardy/python-binance
tendermint,tendermint,5700,https://github.com/tendermint/tendermint
jesse-ai,jesse,5400,https://github.com/jesse-ai/jesse
sea-protocol,seaprotocol,5100,https://github.com/sea-protocol/seaprotocol
mimblewimble,grin,5000,https://github.com/mimblewimble/grin
